Expression	Value	Location	Type	
Xnormal	Error (col 1): Unknown or ambiguous symbol. Xnormal			
ADC_buffer1	<array>	0x20000000	uint16_t[3000]	
[139]	135	0x20000116	uint16_t	
[140]	108	0x20000118	uint16_t	
[141]	134	0x2000011A	uint16_t	
[142]	105	0x2000011C	uint16_t	
[143]	122	0x2000011E	uint16_t	
[144]	151	0x20000120	uint16_t	
[145]	132	0x20000122	uint16_t	
[146]	92	0x20000124	uint16_t	
[147]	110	0x20000126	uint16_t	
[148]	147	0x20000128	uint16_t	
[149]	112	0x2000012A	uint16_t	
[150]	131	0x2000012C	uint16_t	
[151]	88	0x2000012E	uint16_t	
[152]	96	0x20000130	uint16_t	
[153]	107	0x20000132	uint16_t	
[154]	131	0x20000134	uint16_t	
[155]	88	0x20000136	uint16_t	
[156]	96	0x20000138	uint16_t	
[157]	107	0x2000013A	uint16_t	
[158]	131	0x2000013C	uint16_t	
[159]	88	0x2000013E	uint16_t	
[160]	96	0x20000140	uint16_t	
[161]	107	0x20000142	uint16_t	
[162]	131	0x20000144	uint16_t	
[163]	88	0x20000146	uint16_t	
[164]	96	0x20000148	uint16_t	
[165]	107	0x2000014A	uint16_t	
[166]	130	0x2000014C	uint16_t	
[167]	85	0x2000014E	uint16_t	
[168]	106	0x20000150	uint16_t	
[169]	126	0x20000152	uint16_t	
[170]	172	0x20000154	uint16_t	
[171]	150	0x20000156	uint16_t	
[172]	128	0x20000158	uint16_t	
[173]	76	0x2000015A	uint16_t	
[174]	88	0x2000015C	uint16_t	
[175]	95	0x2000015E	uint16_t	
[176]	128	0x20000160	uint16_t	
[177]	77	0x20000162	uint16_t	
[178]	93	0x20000164	uint16_t	
[179]	118	0x20000166	uint16_t	
[180]	160	0x20000168	uint16_t	
[181]	123	0x2000016A	uint16_t	
[182]	154	0x2000016C	uint16_t	
[183]	119	0x2000016E	uint16_t	
[184]	164	0x20000170	uint16_t	
[185]	138	0x20000172	uint16_t	
[186]	96	0x20000174	uint16_t	
[187]	107	0x20000176	uint16_t	
[188]	130	0x20000178	uint16_t	
[189]	85	0x2000017A	uint16_t	
[190]	106	0x2000017C	uint16_t	
[191]	126	0x2000017E	uint16_t	
[192]	172	0x20000180	uint16_t	
[193]	149	0x20000182	uint16_t	
[194]	122	0x20000184	uint16_t	
[195]	151	0x20000186	uint16_t	
[196]	131	0x20000188	uint16_t	
[197]	89	0x2000018A	uint16_t	
[198]	99	0x2000018C	uint16_t	
[199]	119	0x2000018E	uint16_t	
[200]	164	0x20000190	uint16_t	
[201]	138	0x20000192	uint16_t	
[202]	96	0x20000194	uint16_t	
[203]	107	0x20000196	uint16_t	
[204]	131	0x20000198	uint16_t	
[205]	88	0x2000019A	uint16_t	
[206]	96	0x2000019C	uint16_t	
[207]	106	0x2000019E	uint16_t	
[208]	128	0x200001A0	uint16_t	
[209]	76	0x200001A2	uint16_t	
[210]	88	0x200001A4	uint16_t	
[211]	96	0x200001A6	uint16_t	
[212]	107	0x200001A8	uint16_t	
[213]	131	0x200001AA	uint16_t	
[214]	88	0x200001AC	uint16_t	
[215]	96	0x200001AE	uint16_t	
[216]	107	0x200001B0	uint16_t	
[217]	131	0x200001B2	uint16_t	
[218]	88	0x200001B4	uint16_t	
[219]	96	0x200001B6	uint16_t	
[220]	107	0x200001B8	uint16_t	
[221]	131	0x200001BA	uint16_t	
[222]	88	0x200001BC	uint16_t	
[223]	96	0x200001BE	uint16_t	
[224]	108	0x200001C0	uint16_t	
[225]	134	0x200001C2	uint16_t	
[226]	104	0x200001C4	uint16_t	
[227]	119	0x200001C6	uint16_t	
[228]	164	0x200001C8	uint16_t	
[229]	138	0x200001CA	uint16_t	
[230]	96	0x200001CC	uint16_t	
[231]	106	0x200001CE	uint16_t	
[232]	126	0x200001D0	uint16_t	
[233]	172	0x200001D2	uint16_t	
[234]	150	0x200001D4	uint16_t	
[235]	128	0x200001D6	uint16_t	
[236]	76	0x200001D8	uint16_t	
[237]	87	0x200001DA	uint16_t	
[238]	116	0x200001DC	uint16_t	
[239]	147	0x200001DE	uint16_t	
[240]	111	0x200001E0	uint16_t	
[241]	152	0x200001E2	uint16_t	
[242]	111	0x200001E4	uint16_t	
[243]	152	0x200001E6	uint16_t	
[244]	112	0x200001E8	uint16_t	
[245]	131	0x200001EA	uint16_t	
[246]	88	0x200001EC	uint16_t	
[247]	96	0x200001EE	uint16_t	
