Expression	Value	Location	Type	
sinus	Error (col 1): Unknown or ambiguous symbol. sinus			
GPIOB_DATA	Error (col 1): Unknown or ambiguous symbol. GPIOB_DATA			
DATA	Error (col 1): Unknown or ambiguous symbol. DATA			
tempc	Error (col 1): Unknown or ambiguous symbol. tempc			
adc_buffer	<array>	0x20000000	uint16_t[3000]	
[127]	1293	0x200000FE	uint16_t	
[128]	1346	0x20000100	uint16_t	
[129]	1348	0x20000102	uint16_t	
[130]	1285	0x20000104	uint16_t	
[131]	1211	0x20000106	uint16_t	
[132]	1147	0x20000108	uint16_t	
[133]	1163	0x2000010A	uint16_t	
[134]	1237	0x2000010C	uint16_t	
[135]	1323	0x2000010E	uint16_t	
[136]	1363	0x20000110	uint16_t	
[137]	1336	0x20000112	uint16_t	
[138]	1263	0x20000114	uint16_t	
[139]	1183	0x20000116	uint16_t	
[140]	1148	0x20000118	uint16_t	
[141]	1191	0x2000011A	uint16_t	
[142]	1275	0x2000011C	uint16_t	
[143]	1335	0x2000011E	uint16_t	
[144]	1345	0x20000120	uint16_t	
[145]	1292	0x20000122	uint16_t	
[146]	1217	0x20000124	uint16_t	
[147]	1161	0x20000126	uint16_t	
[148]	1165	0x20000128	uint16_t	
[149]	1218	0x2000012A	uint16_t	
[150]	1287	0x2000012C	uint16_t	
[151]	1332	0x2000012E	uint16_t	
[152]	1328	0x20000130	uint16_t	
[153]	1269	0x20000132	uint16_t	
[154]	1210	0x20000134	uint16_t	
[155]	1176	0x20000136	uint16_t	
[156]	1188	0x20000138	uint16_t	
[157]	1243	0x2000013A	uint16_t	
[158]	1302	0x2000013C	uint16_t	
[159]	1331	0x2000013E	uint16_t	
[160]	1312	0x20000140	uint16_t	
[161]	1258	0x20000142	uint16_t	
[162]	1207	0x20000144	uint16_t	
[163]	1170	0x20000146	uint16_t	
[164]	1194	0x20000148	uint16_t	
[165]	1242	0x2000014A	uint16_t	
[166]	1309	0x2000014C	uint16_t	
[167]	1327	0x2000014E	uint16_t	
[168]	1301	0x20000150	uint16_t	
[169]	1247	0x20000152	uint16_t	
[170]	1201	0x20000154	uint16_t	
[171]	1175	0x20000156	uint16_t	
[172]	1204	0x20000158	uint16_t	
[173]	1254	0x2000015A	uint16_t	
[174]	1298	0x2000015C	uint16_t	
[175]	1317	0x2000015E	uint16_t	
[176]	1286	0x20000160	uint16_t	
[177]	1244	0x20000162	uint16_t	
[178]	1213	0x20000164	uint16_t	
[179]	1202	0x20000166	uint16_t	
[180]	1223	0x20000168	uint16_t	
[181]	1271	0x2000016A	uint16_t	
[182]	1279	0x2000016C	uint16_t	
[183]	1292	0x2000016E	uint16_t	
[184]	1269	0x20000170	uint16_t	
[185]	1242	0x20000172	uint16_t	
[186]	1223	0x20000174	uint16_t	
[187]	1216	0x20000176	uint16_t	
[188]	1234	0x20000178	uint16_t	
[189]	1261	0x2000017A	uint16_t	
[190]	1277	0x2000017C	uint16_t	
[191]	1280	0x2000017E	uint16_t	
[192]	1262	0x20000180	uint16_t	
[193]	1243	0x20000182	uint16_t	
[194]	1238	0x20000184	uint16_t	
[195]	1238	0x20000186	uint16_t	
[196]	1245	0x20000188	uint16_t	
[197]	1243	0x2000018A	uint16_t	
[198]	1261	0x2000018C	uint16_t	
[199]	1265	0x2000018E	uint16_t	
[200]	1263	0x20000190	uint16_t	
[201]	1254	0x20000192	uint16_t	
[202]	1249	0x20000194	uint16_t	
[203]	1245	0x20000196	uint16_t	
[204]	1237	0x20000198	uint16_t	
[205]	1239	0x2000019A	uint16_t	
[206]	1241	0x2000019C	uint16_t	
[207]	1248	0x2000019E	uint16_t	
[208]	1257	0x200001A0	uint16_t	
[209]	1266	0x200001A2	uint16_t	
[210]	1268	0x200001A4	uint16_t	
[211]	1249	0x200001A6	uint16_t	
[212]	1238	0x200001A8	uint16_t	
[213]	1234	0x200001AA	uint16_t	
[214]	1238	0x200001AC	uint16_t	
[215]	1260	0x200001AE	uint16_t	
[216]	1271	0x200001B0	uint16_t	
[217]	1282	0x200001B2	uint16_t	
[218]	1266	0x200001B4	uint16_t	
[219]	1240	0x200001B6	uint16_t	
[220]	1222	0x200001B8	uint16_t	
[221]	1229	0x200001BA	uint16_t	
[222]	1240	0x200001BC	uint16_t	
[223]	1270	0x200001BE	uint16_t	
[224]	1285	0x200001C0	uint16_t	
[225]	1295	0x200001C2	uint16_t	
[226]	1268	0x200001C4	uint16_t	
[227]	1232	0x200001C6	uint16_t	
[228]	1209	0x200001C8	uint16_t	
[229]	1208	0x200001CA	uint16_t	
[230]	1236	0x200001CC	uint16_t	
[231]	1279	0x200001CE	uint16_t	
[232]	1292	0x200001D0	uint16_t	
[233]	1295	0x200001D2	uint16_t	
[234]	1253	0x200001D4	uint16_t	
[235]	1218	0x200001D6	uint16_t	
[236]	1210	0x200001D8	uint16_t	
[237]	1211	0x200001DA	uint16_t	
[238]	1250	0x200001DC	uint16_t	
[239]	1287	0x200001DE	uint16_t	
[240]	1291	0x200001E0	uint16_t	
[241]	1279	0x200001E2	uint16_t	
[242]	1254	0x200001E4	uint16_t	
[243]	1213	0x200001E6	uint16_t	
[244]	1214	0x200001E8	uint16_t	
[245]	1237	0x200001EA	uint16_t	
