Expression	Value	Location	Type	
sinus	Error (col 1): Unknown or ambiguous symbol. sinus			
GPIOB_DATA	Error (col 1): Unknown or ambiguous symbol. GPIOB_DATA			
DATA	Error (col 1): Unknown or ambiguous symbol. DATA			
tempc	Error (col 1): Unknown or ambiguous symbol. tempc			
adc_buffer	<array>	0x20001000	uint16_t[1024]	
adc_res	Error (col 1): Unknown or ambiguous symbol. adc_res			
NewSample	Error (col 1): Unknown or ambiguous symbol. NewSample			
OUT	<array>	0x20000000	float[1024]	
[111]	1.97603831E+36	0x200001BC	float	
[112]	1.80241914E+36	0x200001C0	float	
[113]	1.8829640811E+36	0x200001C4	float	
[114]	2.2337825822E+36	0x200001C8	float	
[115]	2.8298157322E+36	0x200001CC	float	
[116]	2.8119168222E+36	0x200001D0	float	
[117]	2.63650773E+36	0x200001D4	float	
[118]	2.0655328644E+36	0x200001D8	float	
[119]	1.72903358E+36	0x200001DC	float	
[120]	1.6180604422E+36	0x200001E0	float	
[121]	1.9635091744E+36	0x200001E4	float	
[122]	2.54522341E+36	0x200001E8	float	
[123]	2.90499121E+36	0x200001EC	float	
[124]	2.85845417E+36	0x200001F0	float	
[125]	2.3125377522E+36	0x200001F4	float	
[126]	1.89191353E+36	0x200001F8	float	
[127]	1.4265422044E+36	0x200001FC	float	
[128]	1.6538582611E+36	0x20000200	float	
[129]	2.2284128144E+36	0x20000204	float	
[130]	3.07682062E+36	0x20000208	float	
[131]	2.96226779E+36	0x2000020C	float	
[132]	2.77969884E+36	0x20000210	float	
[133]	1.9080225233E+36	0x20000214	float	
[134]	1.65027841E+36	0x20000218	float	
[135]	1.49992776E+36	0x2000021C	float	
[136]	1.8292673533E+36	0x20000220	float	
[137]	2.49152669E+36	0x20000224	float	
[138]	2.94794872E+36	0x20000228	float	
[139]	2.9461588022E+36	0x2000022C	float	
[140]	2.6024998344E+36	0x20000230	float	
[141]	1.94561026E+36	0x20000234	float	
[142]	1.56794355E+36	0x20000238	float	
[143]	1.62164012E+36	0x2000023C	float	
[144]	2.0762722411E+36	0x20000240	float	
[145]	2.78506861E+36	0x20000244	float	
[146]	2.90857106E+36	0x20000248	float	
[147]	2.79580783E+36	0x2000024C	float	
[148]	1.97782824E+36	0x20000250	float	
[149]	1.8650651722E+36	0x20000254	float	
[150]	1.6198503644E+36	0x20000258	float	
[151]	1.87580455E+36	0x2000025C	float	
[152]	2.36265463E+36	0x20000260	float	
[153]	2.97121708E+36	0x20000264	float	
[154]	2.7653797844E+36	0x20000268	float	
[155]	2.39308268E+36	0x2000026C	float	
[156]	2.15323749E+36	0x20000270	float	
[157]	1.88117416E+36	0x20000274	float	
[158]	1.9187619E+36	0x20000278	float	
[159]	2.1603970211E+36	0x2000027C	float	
[160]	2.38234331E+36	0x20000280	float	
[161]	2.47183785E+36	0x20000284	float	
[162]	2.41814113E+36	0x20000288	float	
[163]	2.30358829E+36	0x2000028C	float	
[164]	2.24810164E+36	0x20000290	float	
[165]	2.2409421144E+36	0x20000294	float	
[166]	2.23199266E+36	0x20000298	float	
[167]	2.16934647E+36	0x2000029C	float	
[168]	2.1138598244E+36	0x200002A0	float	
[169]	2.0941711511E+36	0x200002A4	float	
[170]	2.2212532822E+36	0x200002A8	float	
[171]	2.45393894E+36	0x200002AC	float	
[172]	2.84234519E+36	0x200002B0	float	
[173]	2.5219547411E+36	0x200002B4	float	
[174]	2.31432751E+36	0x200002B8	float	
[175]	1.90981244E+36	0x200002BC	float	
[176]	1.7075548311E+36	0x200002C0	float	
[177]	1.86148548E+36	0x200002C4	float	
[178]	2.37339385E+36	0x200002C8	float	
[179]	2.9801667E+36	0x200002CC	float	
[180]	2.93541926E+36	0x200002D0	float	
[181]	2.65798648E+36	0x200002D4	float	
[182]	1.8847540044E+36	0x200002D8	float	
[183]	1.50171753E+36	0x200002DC	float	
[184]	1.45876017E+36	0x200002E0	float	
[185]	1.9867776933E+36	0x200002E4	float	
[186]	3.0249138144E+36	0x200002E8	float	
[187]	3.11261844E+36	0x200002EC	float	
[188]	3.0249138144E+36	0x200002F0	float	
[189]	2.34654565E+36	0x200002F4	float	
[190]	1.6538582611E+36	0x200002F8	float	
[191]	1.28514093E+36	0x200002FC	float	
[192]	1.5088770622E+36	0x20000300	float	
[193]	2.3304365033E+36	0x20000304	float	
[194]	3.07682062E+36	0x20000308	float	
